Sorry, forgot to check c-value > 0,09;minHeight;16.539;;15.999;Hans;;;
Each panel goes from truss to truss. The panles are obtained by subdividing each strip of envelope between two trusses.  This number operates the subdivision.;transv subdiv;20.0;;15.0;Michela;;;
;window's top;2.8;;;Michela;measured from structure underneath;;
;window's bottom;0.0;;;Michela;measured from structure underneath;;
Comments;Parameter;New Value;Obstruction;Old Value;Owner;Importance;Date;Author
Tracks are centred on 0,0,0 in Y direction.;minWidth;122.000;;120.000;Hans;;utc 10/06/2013 17:21:13;Michela
;minLength;221.998;;220.000;Hans;;;
Sorry, forgot to check c-value > 0,09;minHeight;16.539;;15.999;Hans;;;
Each panel goes from truss to truss. The panles are obtained by subdividing each strip of envelope between two trusses.  This number operates the subdivision.;transv subdiv;20.0;;15.0;Michela;;;
measured from structure underneath;window's top;2.8;;;Michela;;;
measured from structure underneath;window's bottom;0.0;;;Michela;;;
Comments;Parameter;New Value;Obstruction;Old Value;Owner;Importance;Date;Author
Tracks are centred on 0,0,0 in Y direction.;minWidth;122.000;;120.000;Hans;;utc 10/08/2013 11:25:53;Irem
;minLength;221.998;;220.000;Hans;;;
Sorry, forgot to check c-value > 0,09;minHeight;16.539;;15.999;Hans;;;
Each panel goes from truss to truss. The panles are obtained by subdividing each strip of envelope between two trusses.  This number operates the subdivision.;transv subdiv;20.0;;15.0;Michela;;;
measured from structure underneath;window's top;2.8;;;Michela;;;
measured from structure underneath;window's bottom;0.0;;;Michela;;;
;tilt angle;36.0;;;Irem;;;
;orientation to south;5.0;;;Irem;;;
Comments;Parameter;New Value;Obstruction;Old Value;Owner;Importance;Date;Author
Tracks are centred on 0,0,0 in Y direction.;minWidth;122.000;;120.000;Hans;;utc 10/08/2013 11:28:50;Irem
;minLength;221.998;;220.000;Hans;;;
Sorry, forgot to check c-value > 0,09;minHeight;16.539;;15.999;Hans;;;
Each panel goes from truss to truss. The panles are obtained by subdividing each strip of envelope between two trusses.  This number operates the subdivision.;transv subdiv;20.0;;15.0;Michela;;;
measured from structure underneath;window's top;2.8;;;Michela;;;
measured from structure underneath;window's bottom;0.0;;;Michela;;;
maximum irradiation is achieved at an angle of 36 degrees;tilt angle;36.0;;;Irem;;;
maximum irradiation is achieved at an angle of 5 degrees west of south;orientation to south;5.0;;;Irem;;;
Comments;Parameter;New Value;Obstruction;Old Value;Owner;Importance;Date;Author
Tracks are centred on 0,0,0 in Y direction.;minWidth;122.000;;120.000;Hans;;utc 10/08/2013 15:21:00;Michela
;minLength;221.998;;220.000;Hans;;;
Sorry, forgot to check c-value > 0,09;minHeight;16.539;;15.999;Hans;;;
Each panel goes from truss to truss. The panles are obtained by subdividing each strip of envelope between two trusses.  This number operates the subdivision.;transv subdiv;20.0;;15.0;Michela;;;
measured from structure underneath;window's top;2.8;;;Michela;;;
measured from structure underneath;window's bottom;0.0;;;Michela;;;
Comments;Parameter;New Value;Obstruction;Old Value;Owner;Importance;Date;Author
Tracks are centred on 0,0,0 in Y direction.;minWidth;122.000;;120.000;Hans;;utc 10/10/2013 10:08:16;Irem
;minLength;221.998;;220.000;Hans;;;
Sorry, forgot to check c-value > 0,09;minHeight;16.539;;15.999;Hans;;;
Each panel goes from truss to truss. The panles are obtained by subdividing each strip of envelope between two trusses.  This number operates the subdivision.;transv subdiv;20.0;;15.0;Michela;;;
measured from structure underneath;window's top;2.8;;;Michela;;;
measured from structure underneath;window's bottom;0.0;;;Michela;;;
maximum irradiation is achieved at an angle of 36 degrees;tilt angle;36.0;;;Irem;;;
maximum irradiation is achieved at an angle of 5 degrees west of south;orientation to south;5.0;;;Irem;;;
Comments;Parameter;New Value;Obstruction;Old Value;Owner;Importance;Date;Author
Tracks are centred on 0,0,0 in Y direction.;minWidth;124.000;;120.000;Hans;;utc 10/10/2013 10:10:17;Hans
;minLength;254.000;;220.000;Hans;;;
Sorry, forgot to check c-value > 0,09;minHeight;19.928;;15.999;Hans;;;
Each panel goes from truss to truss. The panles are obtained by subdividing each strip of envelope between two trusses.  This number operates the subdivision.;transv subdiv;20.0;;15.0;Michela;;;
measured from structure underneath;window's top;2.8;;;Michela;;;
measured from structure underneath;window's bottom;0.0;;;Michela;;;
maximum irradiation is achieved at an angle of 36 degrees;tilt angle;36.0;;;Irem;;;
maximum irradiation is achieved at an angle of 5 degrees west of south;orientation to south;5.0;;;Irem;;;
"Inside nurbs curve top border. Use Text Split with "" /"" to get control points. Offset to make surface to connect trusses.";TopBorder;{0.0, 126.6, 18.434942}/{4.555441, 126.599999, 18.434941}/{9.167586, 126.364068, 18.50297}/{18.212022, 125.190218, 18.67627}/{22.735645, 124.239338, 18.782821}/{31.469401, 121.269045, 18.882565}/{35.637201, 119.243114, 18.870459}/{43.243674, 113.799698, 18.562229}/{46.465216, 110.527406, 18.270543}/{49.168773, 106.718762, 17.846529}/{50.228483, 105.225893, 17.680329}/{51.192391, 103.673285, 17.496937}/{52.070663, 102.070663, 17.300741}/{54.213419, 98.160679, 16.822072}/{55.833459, 93.975798, 16.269625}/{58.316686, 85.456638, 15.18678}/{59.203272, 81.04911, 14.648327}/{60.483349, 72.276572, 13.7288}/{60.892199, 67.816269, 13.337726}/{61.399478, 58.929011, 12.799868}/{61.5, 54.465523, 12.650864}/{61.5, 50.0, 12.650864}/{61.5, 33.333333, 12.650864}/{61.5, 16.666667, 12.650864}/{61.5, 0.0, 12.650864}/{61.5, -16.666667, 12.650864}/{61.5, -33.333333, 12.650864}/{61.5, -50.0, 12.650864}/{61.5, -54.465523, 12.650864}/{61.399478, -58.929011, 12.799868}/{60.892199, -67.816269, 13.337726}/{60.483349, -72.276572, 13.7288}/{59.203272, -81.04911, 14.648327}/{58.316686, -85.456638, 15.18678}/{55.833459, -93.975798, 16.269625}/{54.213419, -98.160679, 16.822072}/{52.070663, -102.070663, 17.300741}/{51.192391, -103.673285, 17.496937}/{50.228483, -105.225893, 17.680329}/{49.168773, -106.718762, 17.846529}/{46.465216, -110.527406, 18.270543}/{43.243674, -113.799698, 18.562229}/{35.637201, -119.243114, 18.870459}/{31.469401, -121.269045, 18.882565}/{22.735645, -124.239338, 18.782821}/{18.212022, -125.190218, 18.67627}/{9.167586, -126.364068, 18.50297}/{4.555441, -126.599999, 18.434941}/{0.0, -126.6, 18.434942}/{-4.555441, -126.599999, 18.434941}/{-9.167586, -126.364068, 18.50297}/{-18.212022, -125.190218, 18.67627}/{-22.735645, -124.239338, 18.782821}/{-31.469401, -121.269045, 18.882565}/{-35.637201, -119.243114, 18.870459}/{-43.243674, -113.799698, 18.562229}/{-46.465216, -110.527406, 18.270543}/{-49.168773, -106.718762, 17.846529}/{-50.228483, -105.225893, 17.680329}/{-51.192391, -103.673285, 17.496937}/{-52.070663, -102.070663, 17.300741}/{-54.213419, -98.160679, 16.822072}/{-55.833459, -93.975798, 16.269625}/{-58.316686, -85.456638, 15.18678}/{-59.203272, -81.04911, 14.648327}/{-60.483349, -72.276572, 13.7288}/{-60.892199, -67.816269, 13.337726}/{-61.399478, -58.929011, 12.799868}/{-61.5, -54.465523, 12.650864}/{-61.5, -50.0, 12.650864}/{-61.5, -33.333333, 12.650864}/{-61.5, -16.666667, 12.650864}/{-61.5, 0.0, 12.650864}/{-61.5, 16.666667, 12.650864}/{-61.5, 33.333333, 12.650864}/{-61.5, 50.0, 12.650864}/{-61.5, 54.465523, 12.650864}/{-61.399478, 58.929011, 12.799868}/{-60.892199, 67.81627, 13.337726}/{-60.483349, 72.276573, 13.7288}/{-59.203272, 81.049111, 14.648327}/{-58.316687, 85.456639, 15.186781}/{-55.83346, 93.975799, 16.269626}/{-54.21342, 98.160681, 16.822073}/{-52.070665, 102.070665, 17.300742}/{-51.192392, 103.673289, 17.496938}/{-50.228483, 105.2259, 17.680331}/{-49.168771, 106.718771, 17.846531}/{-46.465214, 110.527415, 18.270545}/{-43.243672, 113.799707, 18.562231}/{-35.637199, 119.243121, 18.870461}/{-31.469399, 121.269052, 18.882567}/{-22.735643, 124.239343, 18.782822}/{-18.212021, 125.190222, 18.676272}/{-9.167585, 126.364071, 18.502971}/{-4.555441, 126.6, 18.434942}/{0.0, 126.6, 18.434942};;;Hans;;;
Comments;Parameter;New Value;Obstruction;Old Value;Owner;Importance;Date;Author
Tracks are centred on 0,0,0 in Y direction.;minWidth;110.000;;120.000;Hans;;utc 10/21/2013 10:20:06;Hans
;minLength;236.725;;220.000;Hans;;;
Sorry, forgot to check c-value > 0,09;minHeight;2.500;;15.999;Hans;;;
Each panel goes from truss to truss. The panles are obtained by subdividing each strip of envelope between two trusses.  This number operates the subdivision.;transv subdiv;20.0;;15.0;Michela;;;
measured from structure underneath;window's top;2.8;;;Michela;;;
measured from structure underneath;window's bottom;0.0;;;Michela;;;
maximum irradiation is achieved at an angle of 36 degrees;tilt angle;36.0;;;Irem;;;
maximum irradiation is achieved at an angle of 5 degrees west of south;orientation to south;5.0;;;Irem;;;
"Inside nurbs curve top border. Use Text Split with "" /"" to get control points. Offset to make surface to connect trusses.";TopBorder;{-54.750791, 0.0, 8.549193}/{-54.750791, -16.666667, 8.549193}/{-54.750791, -33.333333, 8.549193}/{-54.750791, -50.0, 8.549193}/{-54.750791, -57.349436, 8.549193}/{-53.547117, -64.644372, 8.650085}/{-48.837342, -78.560818, 9.044859}/{-45.365437, -85.082739, 9.335874}/{-40.922825, -90.922825, 9.708255}/{-37.94384, -94.838882, 9.957954}/{-34.550527, -98.419311, 10.242382}/{-30.805411, -101.604618, 10.556298}/{-21.961897, -109.126231, 11.297562}/{-11.355127, -114.277801, 12.186623}/{0.0, -116.605341, 13.138411}/{9.434583, -118.539213, 13.929219}/{19.174219, -118.48034, 14.745597}/{37.995694, -114.3725, 16.323216}/{46.880118, -110.365538, 17.067909}/{54.647356, -104.647356, 17.71896}/{61.388826, -99.684336, 18.284031}/{67.165968, -93.522065, 18.768272}/{76.191629, -79.391906, 19.524804}/{79.359131, -71.549634, 19.790305}/{81.01193, -63.322055, 19.928842}/{81.743718, -58.872023, 19.928842}/{82.1, -54.420458, 19.928842}/{82.1, -50.0, 19.928842}/{82.1, -16.666667, 19.928842}/{82.1, 16.666667, 19.928842}/{82.1, 50.0, 19.928842}/{82.1, 54.420458, 19.928842}/{81.743718, 58.872023, 19.928842}/{81.01193, 63.322055, 19.928842}/{79.359131, 71.549634, 19.790305}/{76.191629, 79.391906, 19.524804}/{67.165968, 93.522065, 18.768272}/{61.388826, 99.684336, 18.284031}/{54.647356, 104.647356, 17.71896}/{46.880118, 110.365538, 17.067909}/{37.995694, 114.3725, 16.323216}/{19.174219, 118.48034, 14.745597}/{9.434583, 118.539213, 13.929219}/{0.0, 116.605341, 13.138411}/{-11.355127, 114.277801, 12.186623}/{-21.961897, 109.126231, 11.297562}/{-30.805411, 101.604618, 10.556298}/{-34.550527, 98.419311, 10.242382}/{-37.94384, 94.838882, 9.957954}/{-40.922825, 90.922825, 9.708255}/{-45.365437, 85.082739, 9.335874}/{-48.837342, 78.560818, 9.044859}/{-53.547117, 64.644372, 8.650085}/{-54.750791, 57.349436, 8.549193}/{-54.750791, 50.0, 8.549193}/{-54.750791, 33.333333, 8.549193}/{-54.750791, 16.666667, 8.549193}/{-54.750791, 0.0, 8.549193};;;Hans;;;
Truss height is expressed as a fraction of the total width of the roof;Truss Height;0.068;;0.052;Yannis;;;
;Number of Welds;474;;1720;Yannis;;;
;Average Length of Trusses;9.23;;;Yannis;;;
Comments;Parameter;New Value;Obstruction;Old Value;Owner;Importance;Date;Author
Tracks are centred on 0,0,0 in Y direction.;minWidth;106.758;;110.000;Hans;;utc 10/21/2013 12:20:04;Hans
;minLength;236.769;;236.725;Hans;;;
Sorry, forgot to check c-value > 0,09;minHeight;2.500;;15.999;Hans;;;
Each panel goes from truss to truss. The panles are obtained by subdividing each strip of envelope between two trusses.  This number operates the subdivision.;transv subdiv;20.0;;15.0;Michela;;;
measured from structure underneath;window's top;2.8;;;Michela;;;
measured from structure underneath;window's bottom;0.0;;;Michela;;;
maximum irradiation is achieved at an angle of 36 degrees;tilt angle;36.0;;;Irem;;;
maximum irradiation is achieved at an angle of 5 degrees west of south;orientation to south;5.0;;;Irem;;;
"Inside nurbs curve top border. Use Text Split with "" /"" to get control points. Offset to make surface to connect trusses.";TopBorder;{-53.374871, 0.0, 8.669531}/{-53.374871, -16.666667, 8.669531}/{-53.374871, -33.333333, 8.669531}/{-53.374871, -50.0, 8.669531}/{-53.374871, -57.180968, 8.669531}/{-52.217956, -64.308672, 8.775773}/{-47.691212, -77.929847, 9.191475}/{-44.354039, -84.326922, 9.497935}/{-40.082316, -90.082316, 9.890217}/{-36.730349, -94.598502, 10.198036}/{-32.832932, -98.679306, 10.555945}/{-28.485739, -102.238039, 10.955157}/{-20.193751, -109.026089, 11.71663}/{-10.430648, -113.780827, 12.613198}/{0.0, -116.15423, 13.571068}/{9.456238, -118.305915, 14.439456}/{19.265301, -118.456209, 15.340245}/{38.30055, -114.720558, 17.088296}/{47.331882, -110.871407, 17.917664}/{55.266811, -105.266811, 18.646346}/{64.102825, -99.025762, 19.457778}/{71.344138, -90.772779, 20.122764}/{81.37024, -71.540711, 21.043484}/{83.997296, -60.857713, 21.284733}/{83.997296, -50.0, 21.284733}/{83.997296, -16.666667, 21.284733}/{83.997296, 16.666667, 21.284733}/{83.997296, 50.0, 21.284733}/{83.997296, 60.857713, 21.284733}/{81.37024, 71.540711, 21.043484}/{71.344138, 90.772779, 20.122764}/{64.102825, 99.025762, 19.457778}/{55.266811, 105.266811, 18.646346}/{47.331882, 110.871407, 17.917664}/{38.30055, 114.720558, 17.088296}/{19.265301, 118.456209, 15.340245}/{9.456238, 118.305915, 14.439456}/{0.0, 116.15423, 13.571068}/{-10.430648, 113.780827, 12.613198}/{-20.193751, 109.026089, 11.71663}/{-28.485739, 102.238039, 10.955157}/{-32.832932, 98.679306, 10.555945}/{-36.730349, 94.598502, 10.198036}/{-40.082316, 90.082316, 9.890217}/{-44.354039, 84.326922, 9.497935}/{-47.691212, 77.929847, 9.191475}/{-52.217956, 64.308672, 8.775773}/{-53.374871, 57.180968, 8.669531}/{-53.374871, 50.0, 8.669531}/{-53.374871, 33.333337, 8.669531}/{-53.374871, 16.666675, 8.669531}/{-53.374871, 0.0, 8.669531};;{-54.750791, 0.0, 8.549193}/{-54.750791, -16.666667, 8.549193}/{-54.750791, -33.333333, 8.549193}/{-54.750791, -50.0, 8.549193}/{-54.750791, -57.349436, 8.549193}/{-53.547117, -64.644372, 8.650085}/{-48.837342, -78.560818, 9.044859}/{-45.365437, -85.082739, 9.335874}/{-40.922825, -90.922825, 9.708255}/{-37.94384, -94.838882, 9.957954}/{-34.550527, -98.419311, 10.242382}/{-30.805411, -101.604618, 10.556298}/{-21.961897, -109.126231, 11.297562}/{-11.355127, -114.277801, 12.186623}/{0.0, -116.605341, 13.138411}/{9.434583, -118.539213, 13.929219}/{19.174219, -118.48034, 14.745597}/{37.995694, -114.3725, 16.323216}/{46.880118, -110.365538, 17.067909}/{54.647356, -104.647356, 17.71896}/{61.388826, -99.684336, 18.284031}/{67.165968, -93.522065, 18.768272}/{76.191629, -79.391906, 19.524804}/{79.359131, -71.549634, 19.790305}/{81.01193, -63.322055, 19.928842}/{81.743718, -58.872023, 19.928842}/{82.1, -54.420458, 19.928842}/{82.1, -50.0, 19.928842}/{82.1, -16.666667, 19.928842}/{82.1, 16.666667, 19.928842}/{82.1, 50.0, 19.928842}/{82.1, 54.420458, 19.928842}/{81.743718, 58.872023, 19.928842}/{81.01193, 63.322055, 19.928842}/{79.359131, 71.549634, 19.790305}/{76.191629, 79.391906, 19.524804}/{67.165968, 93.522065, 18.768272}/{61.388826, 99.684336, 18.284031}/{54.647356, 104.647356, 17.71896}/{46.880118, 110.365538, 17.067909}/{37.995694, 114.3725, 16.323216}/{19.174219, 118.48034, 14.745597}/{9.434583, 118.539213, 13.929219}/{0.0, 116.605341, 13.138411}/{-11.355127, 114.277801, 12.186623}/{-21.961897, 109.126231, 11.297562}/{-30.805411, 101.604618, 10.556298}/{-34.550527, 98.419311, 10.242382}/{-37.94384, 94.838882, 9.957954}/{-40.922825, 90.922825, 9.708255}/{-45.365437, 85.082739, 9.335874}/{-48.837342, 78.560818, 9.044859}/{-53.547117, 64.644372, 8.650085}/{-54.750791, 57.349436, 8.549193}/{-54.750791, 50.0, 8.549193}/{-54.750791, 33.333333, 8.549193}/{-54.750791, 16.666667, 8.549193}/{-54.750791, 0.0, 8.549193};Hans;;;
Truss height is expressed as a fraction of the total width of the roof;Truss Height;0.068;;0.052;Yannis;;;
;Number of Welds;474;;1720;Yannis;;;
;Average Length of Trusses;9.23;;;Yannis;;;
Comments;Parameter;New Value;Obstruction;Old Value;Owner;Importance;Date;Author
Tracks are centred on 0,0,0 in Y direction.;minWidth;124.000;;120.000;Hans;;utc 10/21/2013 12:59:47;Irem
;minLength;254.000;;220.000;Hans;;;
Sorry, forgot to check c-value > 0,09;minHeight;19.928;;15.999;Hans;;;
Each panel goes from truss to truss. The panles are obtained by subdividing each strip of envelope between two trusses.  This number operates the subdivision.;transv subdiv;20.0;;15.0;Michela;;;
measured from structure underneath;window's top;2.8;;;Michela;;;
measured from structure underneath;window's bottom;0.0;;;Michela;;;
maximum irradiation is achieved at an angle of 36 degrees;tilt angle;36.0;;;Irem;;;
maximum irradiation is achieved at an angle of 5 degrees west of south;orientation to south;5.0;;;Irem;;;
"Inside nurbs curve top border. Use Text Split with "" /"" to get control points. Offset to make surface to connect trusses.";TopBorder;{0.0, 126.6, 18.434942}/{4.555441, 126.599999, 18.434941}/{9.167586, 126.364068, 18.50297}/{18.212022, 125.190218, 18.67627}/{22.735645, 124.239338, 18.782821}/{31.469401, 121.269045, 18.882565}/{35.637201, 119.243114, 18.870459}/{43.243674, 113.799698, 18.562229}/{46.465216, 110.527406, 18.270543}/{49.168773, 106.718762, 17.846529}/{50.228483, 105.225893, 17.680329}/{51.192391, 103.673285, 17.496937}/{52.070663, 102.070663, 17.300741}/{54.213419, 98.160679, 16.822072}/{55.833459, 93.975798, 16.269625}/{58.316686, 85.456638, 15.18678}/{59.203272, 81.04911, 14.648327}/{60.483349, 72.276572, 13.7288}/{60.892199, 67.816269, 13.337726}/{61.399478, 58.929011, 12.799868}/{61.5, 54.465523, 12.650864}/{61.5, 50.0, 12.650864}/{61.5, 33.333333, 12.650864}/{61.5, 16.666667, 12.650864}/{61.5, 0.0, 12.650864}/{61.5, -16.666667, 12.650864}/{61.5, -33.333333, 12.650864}/{61.5, -50.0, 12.650864}/{61.5, -54.465523, 12.650864}/{61.399478, -58.929011, 12.799868}/{60.892199, -67.816269, 13.337726}/{60.483349, -72.276572, 13.7288}/{59.203272, -81.04911, 14.648327}/{58.316686, -85.456638, 15.18678}/{55.833459, -93.975798, 16.269625}/{54.213419, -98.160679, 16.822072}/{52.070663, -102.070663, 17.300741}/{51.192391, -103.673285, 17.496937}/{50.228483, -105.225893, 17.680329}/{49.168773, -106.718762, 17.846529}/{46.465216, -110.527406, 18.270543}/{43.243674, -113.799698, 18.562229}/{35.637201, -119.243114, 18.870459}/{31.469401, -121.269045, 18.882565}/{22.735645, -124.239338, 18.782821}/{18.212022, -125.190218, 18.67627}/{9.167586, -126.364068, 18.50297}/{4.555441, -126.599999, 18.434941}/{0.0, -126.6, 18.434942}/{-4.555441, -126.599999, 18.434941}/{-9.167586, -126.364068, 18.50297}/{-18.212022, -125.190218, 18.67627}/{-22.735645, -124.239338, 18.782821}/{-31.469401, -121.269045, 18.882565}/{-35.637201, -119.243114, 18.870459}/{-43.243674, -113.799698, 18.562229}/{-46.465216, -110.527406, 18.270543}/{-49.168773, -106.718762, 17.846529}/{-50.228483, -105.225893, 17.680329}/{-51.192391, -103.673285, 17.496937}/{-52.070663, -102.070663, 17.300741}/{-54.213419, -98.160679, 16.822072}/{-55.833459, -93.975798, 16.269625}/{-58.316686, -85.456638, 15.18678}/{-59.203272, -81.04911, 14.648327}/{-60.483349, -72.276572, 13.7288}/{-60.892199, -67.816269, 13.337726}/{-61.399478, -58.929011, 12.799868}/{-61.5, -54.465523, 12.650864}/{-61.5, -50.0, 12.650864}/{-61.5, -33.333333, 12.650864}/{-61.5, -16.666667, 12.650864}/{-61.5, 0.0, 12.650864}/{-61.5, 16.666667, 12.650864}/{-61.5, 33.333333, 12.650864}/{-61.5, 50.0, 12.650864}/{-61.5, 54.465523, 12.650864}/{-61.399478, 58.929011, 12.799868}/{-60.892199, 67.81627, 13.337726}/{-60.483349, 72.276573, 13.7288}/{-59.203272, 81.049111, 14.648327}/{-58.316687, 85.456639, 15.186781}/{-55.83346, 93.975799, 16.269626}/{-54.21342, 98.160681, 16.822073}/{-52.070665, 102.070665, 17.300742}/{-51.192392, 103.673289, 17.496938}/{-50.228483, 105.2259, 17.680331}/{-49.168771, 106.718771, 17.846531}/{-46.465214, 110.527415, 18.270545}/{-43.243672, 113.799707, 18.562231}/{-35.637199, 119.243121, 18.870461}/{-31.469399, 121.269052, 18.882567}/{-22.735643, 124.239343, 18.782822}/{-18.212021, 125.190222, 18.676272}/{-9.167585, 126.364071, 18.502971}/{-4.555441, 126.6, 18.434942}/{0.0, 126.6, 18.434942};;;Hans;;;
Truss height is expressed as a fraction of the total width of the roof;Truss Height;0.069;;0.052;Yannis;;;
;Number of Welds;477;;1720;Yannis;;;
;Average Length of Trusses;9.289.056;;;Yannis;;;
;Lower Arc;//%{-41.960113, -114.6, 48.594533}/{0.0, -114.6, 53.069938}/{41.960113, -114.6, 59.420242}%{-51.77949, -102.6, 47.365479}/{0.0, -102.6, 52.888204}/{51.77949, -102.6, 60.724588}%{-56.797949, -90.6, 45.84155}/{0.0, -90.6, 51.899536}/{56.797949, -90.6, 60.495421}%{-59.542565, -78.6, 44.397293}/{0.0, -78.6, 50.748016}/{59.542565, -78.6, 59.759275}%{-60.940943, -66.6, 43.280357}/{0.0, -66.6, 49.780228}/{60.940943, -66.6, 59.00312}%{-61.481682, -54.6, 42.678016}/{0.0, -54.6, 49.235563}/{61.481682, -54.6, 58.54029}%{-61.5, -42.6, 42.650864}/{0.0, -42.6, 49.210364}/{61.5, -42.6, 58.517864}%{-61.5, -30.6, 42.650864}/{0.0, -30.6, 49.210364}/{61.5, -30.6, 58.517864}%{-61.5, -18.6, 42.650864}/{0.0, -18.6, 49.210364}/{61.5, -18.6, 58.517864}%{-61.5, -6.6, 42.650864}/{0.0, -6.6, 49.210364}/{61.5, -6.6, 58.517864}%{-61.5, 5.4, 42.650864}/{0.0, 5.4, 49.210364}/{61.5, 5.4, 58.517864}%{-61.5, 17.4, 42.650864}/{0.0, 17.4, 49.210364}/{61.5, 17.4, 58.517864}%{-61.5, 29.4, 42.650864}/{0.0, 29.4, 49.210364}/{61.5, 29.4, 58.517864}%{-61.5, 41.4, 42.650864}/{0.0, 41.4, 49.210364}/{61.5, 41.4, 58.517864}%{-61.492435, 53.4, 42.662077}/{0.0, 53.4, 49.22077}/{61.492435, 53.4, 58.527125}%{-61.018313, 65.4, 43.200764}/{-2.1633e-8, 65.4, 49.708888}/{61.018313, 65.4, 58.943488}%{-59.724491, 77.4, 44.269371}/{-9.216e-8, 77.4, 50.639498}/{59.724491, 77.4, 59.67829}%{-57.150278, 89.4, 45.688916}/{-6.3371e-7, 89.4, 51.78448}/{57.150277, 89.4, 60.433687}%{-52.438092, 101.4, 47.218631}/{-1.442e-6, 101.4, 52.811601}/{52.438089, 101.4, 60.747658}%{-43.431411, 113.4, 48.510396}/{-4.1479e-6, 113.4, 53.142725}/{43.431402, 113.4, 59.715697}%{-16.317417, 125.4, 48.641943}/{-0.000013, 125.4, 50.382332}/{16.317392, 125.4, 52.851831};;;Yannis;;;
